hlnum,ctermfg,ctermbg,guifg,guibg
0,0,12,black,firebrick1
1,0,10,black,LimeGreen
2,0,11,black,DeepSkyBlue
3,0,14,black,yellow
4,0,4,black,plum
5,0,2,black,SpringGreen1
6,0,1,black,CornflowerBlue
7,0,6,black,orange
8,7,5,black,HotPink
9,7,3,black,chartreuse
10,7,9,black,cyan
11,7,13,black,gold
12,8,12,black,LightPink
13,8,10,black,DarkSeaGreen1
14,8,11,black,MediumPurple1
15,8,14,black,RosyBrown
16,7,4,white,tomato
17,7,2,white,chartreuse4
18,7,1,white,SlateBlue1
19,7,6,white,khaki1
20,14,5,white,DeepPink
21,14,3,white,DarkTurquoise
22,14,9,white,SteelBlue
23,14,13,white,tan3
24,11,12,white,IndianRed
25,6,10,white,DarkKhaki
26,5,11,white,MediumAquamarine
27,9,14,white,NavajoWhite2
28,14,4,white,salmon
29,14,2,white,YellowGreen
30,14,1,white,LightSteelBlue
31,14,6,white,yellow3
32,0,12,black,firebrick1
33,0,10,black,LimeGreen
34,0,11,black,DeepSkyBlue
35,0,14,black,yellow
36,0,4,black,plum
37,0,2,black,SpringGreen1
38,0,1,black,CornflowerBlue
39,0,6,black,orange
40,7,5,black,HotPink
41,7,3,black,chartreuse
42,7,9,black,cyan
43,7,13,black,gold
44,8,12,black,LightPink
45,8,10,black,DarkSeaGreen1
46,8,11,black,MediumPurple1
47,8,14,black,RosyBrown
48,7,4,white,tomato
49,7,2,white,chartreuse4
50,7,1,white,SlateBlue1
51,7,6,white,khaki1
52,14,5,white,DeepPink
53,14,3,white,DarkTurquoise
54,14,9,white,SteelBlue
55,14,13,white,tan3
56,11,12,white,IndianRed
57,6,10,white,DarkKhaki
58,5,11,white,MediumAquamarine
59,9,14,white,NavajoWhite2
60,14,4,white,salmon
61,14,2,white,YellowGreen
62,14,1,white,LightSteelBlue
63,14,6,white,yellow3
64,0,12,black,firebrick1
65,0,10,black,LimeGreen
66,0,11,black,DeepSkyBlue
67,0,14,black,yellow
68,0,4,black,plum
69,0,2,black,SpringGreen1
70,0,1,black,CornflowerBlue
71,0,6,black,orange
72,7,5,black,HotPink
73,7,3,black,chartreuse
74,7,9,black,cyan
75,7,13,black,gold
76,8,12,black,LightPink
77,8,10,black,DarkSeaGreen1
78,8,11,black,MediumPurple1
79,8,14,black,RosyBrown
80,7,4,white,tomato
81,7,2,white,chartreuse4
82,7,1,white,SlateBlue1
83,7,6,white,khaki1
84,14,5,white,DeepPink
85,14,3,white,DarkTurquoise
86,14,9,white,SteelBlue
87,14,13,white,tan3
88,11,12,white,IndianRed
89,6,10,white,DarkKhaki
90,5,11,white,MediumAquamarine
91,9,14,white,NavajoWhite2
92,14,4,white,salmon
93,14,2,white,YellowGreen
94,14,1,white,LightSteelBlue
95,14,6,white,yellow3
96,0,12,black,firebrick1
97,0,10,black,LimeGreen
98,0,11,black,DeepSkyBlue
99,0,14,black,yellow
100,0,4,black,plum
101,0,2,black,SpringGreen1
102,0,1,black,CornflowerBlue
103,0,6,black,orange
104,7,5,black,HotPink
105,7,3,black,chartreuse
106,7,9,black,cyan
107,7,13,black,gold
108,8,12,black,LightPink
109,8,10,black,DarkSeaGreen1
110,8,11,black,MediumPurple1
111,8,14,black,RosyBrown
112,7,4,white,tomato
113,7,2,white,chartreuse4
114,7,1,white,SlateBlue1
115,7,6,white,khaki1
116,14,5,white,DeepPink
117,14,3,white,DarkTurquoise
118,14,9,white,SteelBlue
119,14,13,white,tan3
120,11,12,white,IndianRed
121,6,10,white,DarkKhaki
122,5,11,white,MediumAquamarine
123,9,14,white,NavajoWhite2
124,14,4,white,salmon
125,14,2,white,YellowGreen
126,14,1,white,LightSteelBlue
127,14,6,white,yellow3
